Unnamed: 0,rating,review,date,userName,title,quarter,year
3233,1,Wanna watch this via chromecast!!!,2022-01-01 14:37:34,사베비TVsltbb,,2022/1Q,2022
2304,1,그냥 넷플가는게 맘 더 편함,2022-01-01 17:28:35,리,,2022/1Q,2022
1702,3,19세 인증해도 계속 인증하라고 뜨는데 이거 왜이러는건가요? 프레데터를 볼수가 없어요..,2022-01-01 22:58:17,Ent JS,,2022/1Q,2022
2847,3,본방송 후 업르드가 늦음,2022-01-02 00:00:02,수인,,2022/1Q,2022
2776,4,이제 디즈니 소니랑 화해했으니 스파이더맨 베놈 헐크 좀 올려주세요ㅠ,2022-01-02 00:49:16,_패앤텀,,2022/1Q,2022
756,1,한국에서 장사하는거 포기했다고 봐도 되지?,2022-01-02 01:31:19,이거 받아본사람,응 설강화,2022/1Q,2022
354,4,다 좋은데 시청 중인 콘텐츠 삭제 기능이 있었으면 좋겠어요. 다른 ott들은 있어서 유용한데 아쉽네요.,2022-01-02 01:52:47,시청기록,시청 중인 콘텐츠 삭제 기능,2022/1Q,2022
1489,2,여러사람이 사용하기위해 한 사람이 계정공유를 말고 각 개인이 계정을 따로 만든후에 돈내고 결제한 사람의 계정에 추가를 하는게 맞다고 봅니다 단순 프로필 추가해서 본계정 아이디와 비밀번호를 알려주는건 위험이 너무커요 여러가지가 위험합니다 정말로요,2022-01-02 02:06:53,장영헌,,2022/1Q,2022
45,2,음. 자료가 많은 것 같으나 없고. 개인적으로 백조공주를 좋아하는데 당연히 있을 거라 생각했지만 그것도 없고. 왠지 마블 다보면 이용권 해지할것같은 느낌이 강하게 든다. 보다가 일시정지 하고 시간이 좀 흐르면 오류화면이 떠서 앱을 완전히 종료했다가 켜야함. 그리고 재생중에 화면 탭하면 -10초/ +10초 넘어가는 것도 엄청 안먹어서 거의 무용지물이고. 영화를 보는중에 화면 밝기를 조정하지 못하고 기본설정에서 바꿔야 하는게 생각보다 불편. 음량조절도 마찬가지. 그리고 찜한콘텐츠를 따로 보는 기능이 없어 불편함. 굳이 프로필 들어가서 봐야함. 컨텐츠들 목록도 다 안뜨는 것 같음. 검색해서 들어가면 작품이 있는데 그냥 전체적으로 보면 없음. 이를테면 하이스쿨뮤지컬 이라던가(이건 리뉴얼해 드라마처럼 나온것만 뜨고 오리지널버전은 검색해야만 나옴). 국내 플랫폼들 중 4개를 몇년간 꾸준히 사용해온 이용자로서 앱 개발이 많이 시도되어야한다고 봄.,2022-01-02 02:38:58,SH,,2022/1Q,2022
220,5,내가 바로 이전에 보던걸 이어서 보려면 해당 영상을 찾아야 하네요 불편해요,2022-01-02 04:03:41,테스터에요,내가 보던 영상을 바로 상단에 띄워 주는 기능이 없어 불편합니다,2022/1Q,2022
739,1,앱을 지웠는데 앱스토어에선 설치가 아니라 계속 열기라고만 뜸 안 열림..,2022-01-02 05:54:37,담요를돌돌돌,안 열림,2022/1Q,2022
388,3,한국어자막 설정했는데 와 중국어 자막이 나옴? 자막팀 일좀 제대로 해라 진짜 엔칸토랑 로키릉 특이 2021년도에 나온거 계속 중국어자막나와서 더 빡침,2022-01-02 07:52:22,vonozzange,자막진짜빡침,2022/1Q,2022
2228,3,빠르게 재생 하는것 좀,2022-01-02 08:24:17,misook Lee,,2022/1Q,2022
2451,3,제발 배속으로 보게 해주세요!!! 디즈니플러스만 안돼요,2022-01-02 11:57:55,송은이,,2022/1Q,2022
1562,3,재상중 화면터치잠금 기능좀 업데이트해주세요!,2022-01-02 17:46:29,만계,,2022/1Q,2022
880,5,재밌게 보고 있습니다. 제발 속도 기능 좀 넣어주세요. 빨리 보고 싶을 때도 있는데 속도가 하나밖에 없으니 너무 불편합니다.,2022-01-02 18:00:16,슬기로운힐링생활,,2022/1Q,2022
2158,1,왜 마블 다더빙판이죠?보고싶었는데 보기싫어졌어요...,2022-01-02 18:41:45,조지아커피,,2022/1Q,2022
999,5,시간에 구애받지않고 보고싶을때 언제나 볼수있어 좋으며 디즈니외 다른작품도 많아서 선택하기 어려울정도네요~^^강추🤘,2022-01-02 19:11:27,조경희,,2022/1Q,2022
2025,5,"드라마,영화보단 애니메이션이 많음",2022-01-02 19:40:50,아르미,,2022/1Q,2022
2424,2,앱에서 자막스타일변경 가능하게 만들어봐라,2022-01-02 21:49:15,d되면한다,,2022/1Q,2022
1049,1,쓰레기같은UI 자막은 토익300점 간신히 받는 사람이 최저시급1/3 받으며 일하다 짜증나서 대충 써갈겨 놓은 수준. 유저의 니즈나 편의는 전혀 관심없고 그냥 팔아먹기 급급한 수준이다. 차라리 자막은 토렌트에서 받아서 입히고 그돈으로 UI는 넷플릭스 개발사에 외주주는게 어떨지.,2022-01-02 22:36:24,Howon Cheong,,2022/1Q,2022
2264,1,심의는 도대체 언제 돌리시는지??? 돈내고 토렌트 쓸까요?,2022-01-02 23:27:45,BCDE A,,2022/1Q,2022
486,4,"번역이 너무 엉망이네요
덕분에 영어공부가 절로 된다는;;",2022-01-03 06:19:32,jedph,번역좀;;;,2022/1Q,2022
638,1,"사이트 결제하고 앱다운로드 받으려니 9,900원이 또 결재되네요",2022-01-03 07:36:22,jenjang420,왜 두번결제가되나요?,2022/1Q,2022
662,5,심슨 가족 있는 거 그걸로 만족합니다,2022-01-03 08:17:57,순이야그만좀하자,만족 입니다,2022/1Q,2022
1296,1,볼것도 너무없고 자막도 그렇고 해지마저 불편하게 해놨네요,2022-01-03 10:15:29,이명순,,2022/1Q,2022
237,1,"시청중인 컨텐츠에서 바로바로 삭제 기능 넣어주세요 작품 하나하나 들어가서 끝까지 돌려야 삭제되는거 넘 불편
매니아층 아니면 볼만한게 하나도 없어요 컨텐츠가 너무 부실해요 
그리고 연결이 너어어어ㅓㅓㅓㅓㅓ무 안돼요 
맨날 연결 안된다고 이런! 이딴거 뜨는데 진짜 너무 화가나요 넷플이나 왓차 연결 잘만되는데 디플만 연결 안되는거면 디플의 문제 아닌가요 연결 문제 고쳐주세요
전체적으로 기능이 너무 무실하고 불편해요",2022-01-03 10:58:29,윤힁이,;,2022/1Q,2022
1048,3,시청중인 컨텐츠 삭제하는 버튼 좀 만들어주세요 시리즈물을 실수로 눌렀는데 계속 떠서 불편해요,2022-01-03 11:32:13,윤예서,,2022/1Q,2022
787,1,진심 다른 OTT앱들에 비해 편의성이 너무 떨어짐,2022-01-03 12:51:35,때꼼비,너무 실망,2022/1Q,2022
1074,1,무료3개월이라서 구독중인데 진짜 진짜 별루라 바로 해지할까 생각중..이런걸 월에 만원 가까이 지불하고 볼 이유가 있을까?!,2022-01-03 13:23:11,로얄젤리,,2022/1Q,2022
970,1,삼성스마트티비 sk btv 이용중입니다 티비에앱설치후 몇번 시청했는데 그뒤로는 정상 재생이 안되네요.....태블릿이나 휴대폰사용없이 티비로 아이들과 시청하기위해 연간권을 끊었는데 시청이안되니답답하네요,2022-01-03 16:34:38,감정기복실화냐,,2022/1Q,2022
1433,3,배속기능좀 만들어줘요 제발ㅠㅠㅠㅠㅠ 배속기능 필요해요.... 답답해 죽을맛,2022-01-03 18:09:18,전유빈,,2022/1Q,2022
1680,2,아니 티비로 로그인이 안 돼 비번 바꿔서 해도 안되고,2022-01-03 19:13:26,전닉 연아 주니,,2022/1Q,2022
2834,5,완다누나 날가져요,2022-01-03 22:20:32,장민혁,,2022/1Q,2022
3420,5,굳,2022-01-03 23:46:10,이경,,2022/1Q,2022
2154,5,없어 볼게없어... 다시 옆동네로 이사가야징~~,2022-01-04 00:35:33,송은희,,2022/1Q,2022
121,5,"앱 편의성 개선해주세요
최소한 제스쳐로 볼륨이랑 밝기 조절하는 기능은 추가되어야함",2022-01-04 15:06:35,SupremeTJ,컨텐츠만 좋음 앱 편의성은 별 한개도 아까움,2022/1Q,2022
914,1,한국 시장에서 장사하려면 적어도 ALl등급은 한국어더빙 지원이 되야하는거 아닌가요? 아이보려고 결재한건데 나홀로집에도 그렇고 라푼젤시리즈도 그렇고 한국어더빙이 안되네요. 일본어지원은 되던데 말이죠. 12개월 결재했는데 지금 끊어버릴까 심각하게 고민중입니다.,2022-01-04 17:45:15,바다로콜,,2022/1Q,2022
495,3,넷플릭스 대비 너무 준비가 덜 된 느낌입니다. 자막 번역 문제는 정말 한시 바삐 고치셔야 하고요. 모바일에서도 자막 세부 설정 가능하게 해주세요. 자막 뒤의 블랙바 배경 너무 싫습니다.,2022-01-04 18:36:37,ZERO !,,2022/1Q,2022
984,3,"흠....디즈니독점이라 마블이랑 픽사 보려고 선택했지만, 디즈니영화는 아무래도 노래 같이 부르면서 봐야 잼나는 것 같아요. 이 부분만은 씽어롱 지원되던 올레티비가 더 나은듯...",2022-01-04 19:03:41,Jungmi LEE,,2022/1Q,2022
2478,1,자막도 쓰레기인데 설강화와 중국이 많이 묻었네? 믿고 거름. 마블에 디즈니 묻어서 마블도 탈덕함,2022-01-04 21:01:20,비공개,,2022/1Q,2022
567,1,보는것만으로도 숨이막힘. 배열문제인가? 여하튼 보고싶은걸 찾기전에 이미답답해서 나가곤함,2022-01-05 00:19:49,mainextra,홈페이지 자체가,2022/1Q,2022
2576,1,킹스맨볼수가없다 성인인증하래서하겟다하면아무것도안된다,2022-01-05 02:12:28,Huk Gun kim,,2022/1Q,2022
2849,1,실행이안됨 엘지단말기,2022-01-05 07:13:42,서민우,,2022/1Q,2022
2458,1,갤럭시노트20울트라인데 앱이 안켜져요;;,2022-01-05 07:50:06,전은빛,,2022/1Q,2022
1667,5,업데이트가 빨리 안돼서 아쉽지만 그래도 재밌습니다,2022-01-05 08:54:08,seung min han,,2022/1Q,2022
751,1,별 한개도 아까움 결제했는데 돈을 왜 자꾸 넣으라는 걸까요,2022-01-05 10:45:39,우티어옴ㄴ,ㅋㅋ,2022/1Q,2022
94,3,자막오류도 너무 심하고 배우가 말 하는거랑 자막이랑 안 맞아요. 그리고 다음화로 바로 넘어갈수있게끔 해주세요 자동 재생이 없으니 보다가 다음화 보고싶으면 화면 나와서 다시 눌러야하고 너무 번거로워요 그리고 렉도 너무 심하고 특히 자막오류 진짜;; 초창기는 그렇다쳐도 아직까지 오류가 있음 어떡하죠? 하나하나 다 고쳐주세요.,2022-01-05 12:12:35,Tmdgus0309,피드백남겨요,2022/1Q,2022
1637,3,창모드 지원안되서 연장안함,2022-01-05 12:19:15,응응%%,,2022/1Q,2022
1165,4,tv로 볼때 회색자막좀 만들어주세요. 시청중인 컨텐츠 삭제도 추가하면 좋을거 같습니다,2022-01-05 14:06:13,이제,,2022/1Q,2022
2798,1,마블 아니였으면 안봄 넷플릭스 보지,2022-01-05 17:26:58,김승민,,2022/1Q,2022
3235,1,최악,2022-01-05 19:08:28,구선미,,2022/1Q,2022
3451,5,이현화,2022-01-05 19:59:12,이현아,,2022/1Q,2022
2481,1,S20에서 앱실행이안되요...도와주세요ㅜㅠ,2022-01-05 20:13:42,Hettie Choi,,2022/1Q,2022
1997,2,자막이 너무 부자연스러움 개선바람,2022-01-05 22:20:24,게스트,,2022/1Q,2022
1982,1,심슨네 가족들 하나 보고 돈 냈는데요. 한국어 자막을 뭐 조선족한테 맡겼나요? '대'랑 '데'도 구분 못하는거 보고 기가 막혔습니다. 게다가 부부 사이 대화 번역도 그래요. 지금이 어느 시대인데 남편은 반말하고 아내는 존댓말쓰고; 장난합니까? 번역 좀 어떻게 해보세요 제발,2022-01-05 23:19:37,박상희,,2022/1Q,2022
2323,4,접속이 안돼 오류코드 91 어떻게 해야돼나? 내돈...,2022-01-06 00:21:53,손주현,,2022/1Q,2022
96,1,시리즈물 보는데 시즌/회차 선택할 수가 없음. 다음화/이전화 버튼도 없음. 스킵 기능도 매우 불편함. 다른 회차 선택하려면 홈 화면으로 나가서 시청중인 드라마 검색 후 회차 선택을 해야하는 어처구니 없는 상황..,2022-01-06 00:23:06,Andrew Park,,2022/1Q,2022
2545,1,기대했는데 돈이 아깝다...,2022-01-06 04:44:44,박준영,,2022/1Q,2022
499,1,환불은 안되고 이용만 못하게 해놨어요 ㅠ 환불을 해주시던지 약정기간동안 보게해주세던지 해주세여,2022-01-06 05:13:07,ㅎㅎㄹ123,구독취소를 했는데,2022/1Q,2022
2859,1,넷플릭스 보고 좀 배워라 볼 거 겁나 없네 ㅉㅉ,2022-01-06 10:52:01,호날두,,2022/1Q,2022
698,2,엄청 불편해요.. 구독 취소도 찾기 어렵게 해놨고 취소했는데도 취소가 안되고.. 고객센터 가서 방법 알아보고 그래도 복잡하고.. 그리고 생각보다 볼 것도 없고,2022-01-06 12:37:46,정현경,,2022/1Q,2022
1976,2,어플기능개빡치네 이앱실행하면 다른앱을 못쓰네,2022-01-06 12:51:16,머니파이프,,2022/1Q,2022
2566,1,어플 실행이 안되네요^^,2022-01-06 13:03:29,김동우,,2022/1Q,2022
2520,1,가입하고 맛보기도 없이 결제하라구요?,2022-01-06 16:17:57,엑스tv,,2022/1Q,2022
2023,1,볼것도 없는데다가 설강화 때문에 탈퇴함,2022-01-06 20:49:17,몽글,,2022/1Q,2022
2068,1,오프닝건너뛰기하면 자꾸 오류나고 건너뛰기도안됨 컨텐츠적음,2022-01-06 20:58:52,MING,,2022/1Q,2022
1536,4,변역만 잘 고치시면 진짜 괜찮을것 같네요.,2022-01-06 21:28:14,장영환,,2022/1Q,2022
2276,1,모바일로 영상재생할때 연령등급 표시가 안사라짐,2022-01-06 21:47:29,귤감,,2022/1Q,2022
1053,1,볼려고 해도 마지막에 결제 할때 내 이메일 비번쓰는데 무슨 계속 문제발생했다며 보지도 못하게 하네요.,2022-01-06 22:52:11,이서준,,2022/1Q,2022
1945,4,다른거 잘 보고 있습니다ㅠㅠ 제발 영문 애니들 더빙 말고 자막좀 달아주세요!!! ●애니 자막 제발요● 그리고 보바펫같은 드라마 시리즈 차별 말고 바로 부탁드립니다... 다른 국가와 실시간으로 함께 보고 싶습니다...,2022-01-06 23:47:32,김민서,,2022/1Q,2022
323,4,"아이가 잘못 눌러서 구독 결제되버렸네요
취소, 환불 부탁드립니다",2022-01-07 02:04:08,vomvom0802,결제 취소 해주세요,2022/1Q,2022
1674,2,일부 시리즈 한글 자막 지원 안되어 있음 그외 기타 등등,2022-01-07 07:59:17,김아오,,2022/1Q,2022
2779,4,공개예정 영화 목록을 만들어 주세요.^~^,2022-01-07 10:38:59,문지수,,2022/1Q,2022
1806,1,이거 왜 켜지지가 않을까요? 돈주고 보는 의미가 없지않나요? 앱실행해도 화면이 안뜨네요,2022-01-07 13:18:35,보라도리,,2022/1Q,2022
87,1,접속이 안됩니다. 말그대로라고요 오프라인에서 저장한 영상은 물론이고 와이파이에서도 데이터에서도 접속이 안됩니다 계속 문제가 발생했다는 창만 뜨고 로딩만 뜹니다. 기기전원도 켰다꺼보고 앱도 지웠다 깔아봤는데 그대로네요,2022-01-07 15:06:08,Hyururu,,2022/1Q,2022
2725,1,멀더가 왜 몰더가 되냐,2022-01-07 15:28:47,신철우,,2022/1Q,2022
118,3,"빔프로젝트 사용중인데 크롬캐스트에 연결해서 보면
빔프로젝트가 5.1 서라운드 사운드를 인식 못해서 소리가 안나와요
그렇다고 청각장애인용 원어 설정으로 보기엔 너무 거슿리고요 ㅠ 넷플릭스에는 서라운드 낮춰서 보는게 있던데 제발 만들어주세요",2022-01-07 16:39:30,웽ㅇ,5.1 서라운드 사운드 적용이 안되는 빔프로젝터,2022/1Q,2022
2709,1,허구헌 날 로딩뜨고 렉걸림 제발 좀 고쳐요,2022-01-07 16:40:42,뚜류뜌류튯뜟,,2022/1Q,2022
1380,3,괜찮기는한데 영상을 볼때 화면이 검정색이나오네요,2022-01-07 17:42:52,김미소,,2022/1Q,2022
2848,1,돈 낼계정을 선택할수가 없나요?,2022-01-07 19:40:43,김영광,,2022/1Q,2022
2544,3,모바일 자막 좀 키워주쇼...,2022-01-07 21:15:11,Hongseok Yun,,2022/1Q,2022
2747,5,일단 내일 고객센터 문의할꺼예요,2022-01-07 21:55:23,리치,,2022/1Q,2022
646,1,갤s20 실행안됨 무한로딩중이고! 그제 리뷰작성했는데 맘대로 삭제했네요? 수정은안하고?? s20에서 실행안된단 리뷰 엄청많이봤는데 싹 없어졌네요???? 아이패드는 잘되는데 폰은 삭제했다 다시깔아도 안되네요!! 고쳐주세요! 패드없으면 결제한거 취소도 못할판 ㅋ,2022-01-07 22:53:26,강지혜,,2022/1Q,2022
809,1,오류 너무 심각하게많음,2022-01-07 23:18:01,ㄴㅇㄹㅓㅓ너으,한개도아까움,2022/1Q,2022
1698,1,계속 앱 다운됨 와 짜증난다,2022-01-07 23:20:10,성홍모,,2022/1Q,2022
1005,1,편의 기능 부족. 보기싫은 영상 거부할 권리. 이어보기 취소하고 싶다. 설강화 아웃,2022-01-08 00:04:30,1 1,,2022/1Q,2022
298,1,이어보기를 하던 중에 시리즈인 콘텐츠는 다른 회차를 보고싶을 때 플레이어 내에서 다른 회차로 갈 수 있는 방법이 보던걸 끄고 검색해서 봐야 함 개 귀찮고 OTT플레이어 중에서 제일 구림 이떤걸로 9천900원 쳐 받다니 ㅋㅋ  자막도 개 ㅂㅅ같고 ㅋㅋ 디즈니 양심 다 어디갓냐고 ㅋㅋ 중동 갓나봄,2022-01-08 00:28:05,c951123,플레이어 기능이 형편없음,2022/1Q,2022
966,5,G O O D,2022-01-08 05:38:27,👼🏻🥭♥️🦋🦄🍄🎄🥔,🌟💎👍🏻,2022/1Q,2022
484,5,"ㆍ너무 좋다
ㆍ너무 편하다
ㆍ휴대폰으로 볼 수 있어서 좋다",2022-01-08 08:03:41,abc stay,디즈니+에 대하여,2022/1Q,2022
717,2,어느날인가부터 푸쉬알림이 옵니다. 끄고 싶으면 설정 → 알림에 가서 설정을 변경하라고 합니다. 앱 설정에는 그런 부분이 없습니다. 에라이..,2022-01-08 10:13:27,JG Kim,,2022/1Q,2022
1256,1,"배속버튼 필수, 2배로 보는거 좋아하는데 정속도로 보니 진도가 안 나감",2022-01-08 11:44:48,김붕붕,,2022/1Q,2022
911,1,결제 취소 좀 하게해주세요. 무슨 오류인지 모르겠는데 어떤 방법을 써도 구독 취소를 할수 없네요. 직접 고객센터에 컴플레인을 넣어야하는지..하...,2022-01-08 12:17:37,BEChristian,,2022/1Q,2022
79,3,장점 : 메가히트작들을 언제든 볼수 있단 정점 단점 : 영상을 보는중 다음화나 이전화로 넘어가기힘듭니다 다른 OTT는 가능합니다 끝에 예고편 스킵해서 넘어가고싶은데 꼭 끝까지 시청해야 다음에피소드를 보는게 가능 그래서 해당회차를 보고 끄고 자고 다음날 시청중인 컨텐츠 누르면 다시 해당회차가 튀어나옴 다음 회차를 보려면 끝까지 봐야함 너무 귀찮아요 그리고 더블탭으로 10초 넘어갈수 있었으면 좋겠습니다,2022-01-08 17:34:26,달리언,,2022/1Q,2022
3412,5,좋아요,2022-01-08 18:35:05,이종숙,,2022/1Q,2022
2835,1,앱이 안열림ㅋㅋ 어쩌라는건지,2022-01-08 19:59:43,크림슨,,2022/1Q,2022
507,4,kt 한달 프로모션으로 이용중인데 나름 만족스럽게 사용중입니다. 다른건 괜찮은데 시청중인 콘텐츠 뜨는거 항목 선택 삭제는 혹시 안되나요? 방법이 있는데 제가 못하는건지 없다면 기능을 추가해주셨으면 합니다. 번창하세요. 감사합니다.,2022-01-08 20:47:23,추송이,,2022/1Q,2022
2922,1,앱이 안 열려요.,2022-01-08 23:29:02,[b]샤카,,2022/1Q,2022
3454,5,초음파,2022-01-09 00:36:03,덕랑,,2022/1Q,2022
473,2,자막 지원이 빨리 됐으면 좋겠네요. 다른 OTT 어플에서 가능한 것들이 지원을 안해서 너무 불편해요ㅠㅠ,2022-01-09 03:24:45,1048173,자막 지원..,2022/1Q,2022
277,2,"넷플리스와 비교하여 외국어 더빙 이나. 자막이. 현저히 부족하던지 전혀 안되어. 답답하고.짜증남. 왜. 이탈리아영화를. 영어로도 들을수있어야. 됨
또한. 미국영화를. 한국어로 들을수. 있게. 만드세요. 이거. 못하면  망해야됨",2022-01-09 05:33:45,승구승구2828373,자막. 외국어더빙부족,2022/1Q,2022
569,1,앱 로그아웃하고 지웠는데 결제가 됐네요 원래 그런건가요? 환줄 요청 하긴 했는데 다음부터는 안 그랬으면 좋겠네요,2022-01-09 06:47:59,꿀이꿀아,환불,2022/1Q,2022
578,2,자막으로 보는데 사람 말 소리는 작고 효과음이나 배경음악은 커요.,2022-01-09 06:54:43,cnsckg,오디오가 이상해요,2022/1Q,2022
3002,1,자막보는법,2022-01-09 09:20:58,박수미,,2022/1Q,2022
2631,3,거울 나라의 앨리스 더빙판 올려주세요,2022-01-09 10:28:08,장희제,,2022/1Q,2022
661,5,빨리 감기 있었으면 좋겠어요,2022-01-09 11:45:48,곽타꾸,아주 좋아요,2022/1Q,2022
900,2,2달간 시청해봤는데 진짜 어지간한것들은 거의 극장서 본거라 크게 볼만한건 아직 없는듯. 이번 설강화 사태로 여기까지만 구독할듯.,2022-01-09 12:34:30,P쫑쫑,,2022/1Q,2022
2198,1,갑자기 접속이 안됩니다...,2022-01-09 14:38:58,In-ho Shin,,2022/1Q,2022
1949,5,제가 기대한 그대로에요. 정말 정말 종아요. 꼭 다운로드하세요. 꼭이요.,2022-01-09 17:57:53,원혁준,,2022/1Q,2022
2546,1,설강화때문에 해지함,2022-01-09 19:18:06,김냔냐,,2022/1Q,2022
2752,4,조금더 많으면,2022-01-09 19:50:30,홍구,,2022/1Q,2022
129,5,"인터넷글 처럼 자막 장난아닙니다 한글 자막 이랑 오디오랑 싱크도 안맞고 전달하는 뜻도 달라요.
새로운 영상이 자주는 안나오네요 흠…",2022-01-09 20:04:20,치는거마다이미있는별명이래,만점이 진짜 만점 아니에여 보시라고 만점이에요,2022/1Q,2022
656,4,대체적으로 좋으나 자막이 이상할때가 종종 있음,2022-01-10 03:31:39,슬러거하악,대체적으로,2022/1Q,2022
185,3,아이패드 & 아이폰 사용중인데 화면 최소화 시키고 다시 키울때마다 사용자 선택 페이지로 떠서 너무 불편해요. 빠른 시일에 개선되었으면 좋겠습니다.,2022-01-10 09:37:56,Hajiskim,계속 튕겨요,2022/1Q,2022
18,5,디즈니여서 믿고 봅니다! 재미난 컨텐츠 등이 넘쳐나니깐요. 하지만 새로나오는 컨텐츠도 기다려지기 마련 입니다. 타사의 기능처럼 공개 예정 작품들을 보고 알람설정을 할 수 있는 기능이 추가 되었으면 좋겠어요!!! 항상 기사나 인터넷에 찾아봐야만 해서 너무 불편하네요ㅠㅠㅠ,2022-01-10 10:17:54,허버허버허버허버,좋아요!!! 그치만…,2022/1Q,2022
2739,2,그래서 탈퇴 어디서 하냐고요 환불 하고 탈퇴 누르면 된다는데 그거 어디있냐고요,2022-01-10 12:03:45,이민영,,2022/1Q,2022
932,1,어플 삭제하고 다시깔아도 그때만 접속되지 계속 접속안됩니다 사용할때마다 삭제하고 다시깔기를 반복해야되나요 개선 해주세요,2022-01-10 13:56:56,윤다혜,,2022/1Q,2022
2974,1,한달보니 볼게읎다,2022-01-10 14:28:25,영통86,,2022/1Q,2022
14,5,"다양한 영화와 단편들 드라마들도 많고 키즈쪽에 치우쳐진 단점을 보완하는 스타(20세기 폭스, 훌루 쪽 드라마)라는 새로운 브랜드와 마블과 스타워즈의 단독 드라마와 삭제장면을 볼 수 있고 VOD에도 없는 아이맥스 비율도 지원한다는 점이 놀랐고 많은 디즈니, 픽사, 마블 등의 고전 애니메이션도 올라와있고 네셔널지오그래픽으로 다큐쪽도 많이 있다. 그리고 아직 올라오지않은 것들이 많다는 것도 참고해두면 좋을 거같아요.
22, 23년 후로도 많은 작품들 올라 올 예정이라 하니 벌써기대가 되네요. 
그리고 자막 같은 경우도 런칭 때와 비교해서 많이 개선되고 있어서 걱정 안해도 될거같어요.",2022-01-10 16:01:45,새벽엔 뭐다? 동..ㅌ,단점을 커버하는 장점들,2022/1Q,2022
