,userName,content,score,at
17,리카[린다],애니메이션을 보는데 시리즈가 1기는 있고 2기없고 OAD가 있는데 심지어 2기가 2021년에 나온거 같은데 지금까지 2기가 안 나오고 있고 시리즈가 다 있는데 영화도 없고 드라마는 많은데 애니메이션이 너무 없어요 그리고 공개 예정인 애니메이션들도 다 짱구 같은거고 요즘 나오는 애니도 거의 안떠서 다른앱을 사용해야 될 지경입니다 돈내고 쓰고있는데 애니 시리즈 같은건 좀 제대로 있어야 되지 않나요? 애니보는 사람은 못보는것도 아닌데 요즘 애니 시리즈도 좀 업데이트 해주시면 좋겠네요,1,2022-02-02 05:51:36
18,박태준,아이폰은 안그런데 안드로이드는 싱크가 잘 안맞습니다 와이파이 및 모바일 데이터 둘다요. 갤럭시 새폰 2022년 2월에 구매한폰인데도 싱크 안맞고 아이폰 xs는 잘 맞습니다 같은 드라마 같은영상인데 안드로이드용 넷플릭스 애플이 문제있나봅니다 모든 갤럭시가 그런것도 아니고 일부 사용자만 그런듯 재설치 해도 계속 똑같고 재부팅해도 같습니다,1,2022-03-15 22:46:24
19,sugar,잘 쓰고 있는데 계속 자동저장이 되서 불편해요. 분명히 제가 자동저장 기능을 꺼 놓고 저장공간도 없는데 왜 자꾸 맘대로 저장을 해요? 진짜 너무 불편해요. 갑자기 핸드폰에 위에 넷플릭스 저장이 다운로드 되서 취소하면 또 다른 영화나 애니가 다운로드 되서 뭐 취소하면 또 다른게 마음대로 다운로드 되니까 속 터져요. 이것 좀 고쳐줘요.,1,2022-03-26 22:11:06
20,모코모토,너무 기본적인 기능도 제대로 갖추어져 있지 않아서 아쉽습니다. 1. 자막 설정 자막 설정은 가능하지만 세세하게 조절이 불가능합니다. 모든 시청자의 취향이 다르듯이 자막 크기도 자유롭게 설정할 수 있도록하는것이 편리할듯합니다. 2. 평가 스팀처럼 댓글까지는 바라지 않습니다. 평점이라도 넣어야 뭘 볼지 정하지 않겠습니까 3. 미드같은 경우 중간 시즌을 빼놓고 올리는 경우가 있어 보기 애매합니다. 왕좌의 게임도 시즌1부터 4까지였나... 암튼 계속 없다가 5하나있고..,1,2022-01-27 21:14:54
21,Google 사용자,s9으로 사용중입니다. 앱사용시 영상재생오류가 심하고(재생도중 오디오와 자막은 나오지만 영상이 멈추거나 아예 나오지않음)또 앱종료후에 폰이 매우 느려지거나 아예 먹통이 됩니다 혹시 와이파이 문제인가 해서 모바일 데이터로 전환해도 계속 그렇네요 업데이트 전과 후 변함 없이 오류가 심합니다. 수정부탁드려요..,1,2019-07-28 22:05:58
22,Google 사용자,"S9+ 사용자입니다. 이전에는 잘됐는데 며칠전부터 영상재생중 화면은 안바뀌고 소리만 나오는 오류가 생겼습니다. 시간도 계속가고 자막도 소리에맞게 바뀌는데 영상만 안바뀝니다. 데이터, 와이파이로 다해봐도 똑같고 유튜브, 비디오플레이어 등 다른 영상재생은 잘되는데 넷플릭스만 이러네요. 해결방법 부탁드립니다.",3,2018-10-03 00:47:55
23,Google 사용자,넷플릭스 정말 다 좋습니다. 좀 사소한거지만 몇가지 불편한점이 있습니다. 첫번째로 한글자막을 틀어놓고 봐야하는 영화 또는 드라마를 시청하다가 잠시 홈화면으로 나가 팝업창을 띄우고 다시 전체화면으로 보면 자막이 사라집니다. 두번째로 언제는 자막뒤에 배경색이 나오고 또 언제는 안나오고 이런거를 사용자가 조절할 수 있게 만들어야 한다고 생각합니다. 마지막으로 넥플릭스 홈화면(메인화면)에서 영상추천을 보려고 아래로 내리다보면 영화 또는 드라마 포스터로만 추천하지 않고 광고영상으로 틀어줄때가 있는데 왜 광고영상이 틀어진다고 갑자기 화면밝기를 스스로 100%로 조절하는 겁니까? 눈이 너무 아픈데 더 웃긴건 그영상을 지나치면 다시원래 밝기로라도 돌아와야 하는거 아닙니까? 영상이 새로 올라오고 즐길 영상이 많은건 장점이지만 이런 사소한 버그가 아직 많습니다. 저는 넷플릭스가 좀더 성장해서 더많은 영상을 올려줄 수 있기를 바라기 때문에 이런 어플을 좀더 나은 어플로 만들어줬으면 합니다.,1,2019-12-01 11:39:35
24,Google 사용자,전체화면으로 처음 딱 틀었을때 화면 대비가 너무 심합니다. 콘트라스트가 거의 버닝현상 수준으로 심해져서 화면이 잘안보이는데 소형모드로 바꿨다가 다시 전체로 바꾸면 대비가 확 빠집니다. 뭐가 맞는 화면색인지는 모르겠는데 갤럭시 노트 9 왜이러는지좀 알려주세요. 넷플릭스 앱에서만 그럽니다,3,2020-01-16 14:52:54
25,Google 사용자,"여러모로 굉장히 만족스럽게 쓰고 있습니다. 갤럭시 노트9 사용 중인데, 무선 미러링 기능(스마트뷰) 을 사용해서 디스플레이에 연결하면 영상이 나오지 않습니다. 소리 및 자막은 나와요. 유튜브는 잘 나오는 걸 봐서 기기 문제는 아닌듯 한데... 혹시 설정을 바꿔줘야 하는 부분이 있나요? 갤럭시7을 쓰는 지인은 영상까지 잘 나옵니다.",5,2019-01-12 10:03:36
26,Google 사용자,"장점: 컨텐츠가 다양하고 많은것. 전세계적으로 다양한 컨텐츠를 볼수 있는것. 단점: 재생화면에 다양한 기능이 없다! 화면잠금도 없고, 볼륨조절이나 화면 빛 조정도 안된다! 10초앞으로나 뒤로 누르면 10초이상 기다리는 경우가 많다. 단점커버해주시면 세계최고,우주최고의 어플이 될 수 있습니다.",3,2019-11-14 17:27:15
27,강희웅,"집에서 티브이로 보거나 피씨로 볼땐 짱짱. 그러나 모바일 기기 지원이 허술함. 분명 지원 목록에 있는 기기들 인데도 최신 업뎃 하면 디알엠 L3로 변경되어 저화질만 재생됨. 고화질 재생을 위해 굳이 옛버전 어플 찾아 테스트 해가며 깔아 써야함. 비싸짐, 주 이용 기기가 티브이라 계속 프리미엄 구독 중인데 가족간 공유를 건드린다면 손절할 예정.",3,2022-04-26 18:25:16
28,Google 사용자,"해외영상물 자막 너무 대충해 놨네요 어중간하게 번역하고 필요없는 의역 너무 많네요. 맨인 블랙 초반에 밀수꾼이랑 말싸움 하는것도 명장면인데 대사를 심하게 줄이고, 다른 영화나 미드도 마찬가지 이고, 그 외 일본 영상쪽은 번역없이 볼 수 있는데 의역이 심하네요. 원래 전할려고 하는 의미와 살짝 달라지더라구요. 이럴거면 의역 하지말고 직역해주세요. 왜 화면은 원본 비율이 고정안돼는 거죠? 확대되면 짤리는 부분이 많던데 특히 고전들은 화면 비율 때문에 많이 짤리는데 재생 때마다 조정하니 번거롭네요.",2,2019-03-02 21:16:15
29,Google 사용자,최근들어 넷플릭스 재생에 렉이 많이 걸리네요 영상을 시청하려고 들어가면 검은화면에 멈춰있고 소리와 자막은 나오는데 화면이 안나와요. 그리고 영상이 나온다 하더라도 버벅거리다가 그냥 멈춰버리네요. 몇번을 지웠다가 깔아도 그대로에요. 휴대폰의 문제인가 싶었는데 다른 어플리케이션은 정상적으로 작동합니다. 넷플릭스를 종료하려고 하도 심한 렉이 걸리고 넷플릭스에서 다른 앱으로 넘어갈 때도 굉장히 심한 렉이 걸립니다. 빠르게 이 사태에 대해서 조치를 부탁드립니다. 감사합니다.,1,2020-01-12 20:58:22
30,Google 사용자,"정말 좋아요. 다운하면 데이터 없이 볼 수 있는 것도 좋고 추천 기능이 있는 것도 너무 좋아요. 근데 단점이 있다면 보지 봇한 영상을 찾아보기가 너무 힘들어요. 보고 싶은 게 있다면 검색또는 추천작에서 찾는 방법 뿐인데, 이 앱에 어떤 영화나 드라마 등이 있는지 찾는 게 너무 어려워요. 추천과 검색 뿐만이 아니라 넷플릭스에 있는 모든 영상들이 장르에 따라 정리되어 어떤 영상들이 있는지 볼 수 있으면 좋겠어요. 새로운 영상을 찾기엔 추천 만으로는 너무나도 부족해요. 이 기능만 추가 되면 더욱더 편하게 영상을 찾을 수 있을 거 같아요!",4,2018-11-19 00:18:21
31,Gina Kim,넷플릭스 유명한 만큼 말해뭐해죠 ㅎㅎ 그런데 제개 말할려는 문제점은 당연히 어쩔 수 없다는 것을 알면서 너무 치명적인 단점 같습니다! 제가 넷플릭스에서 영화를 볼려고 하면 항상 없습니다.. 진짜 유명해도 말이죠..ㅎㅎ 찾아보니 영화에 판권을 임시적으로 빌리는 것이기 때문에 그렇게 되는 것 같은데 저는 이 부분에서 새로운 기능을 추가 핬으면 좋겠습니다. 라프텔? 같은 곳에서는 원하는 애니가 없다면 요청하기? 가 있더군요 넷플릭스도 영화 요청하기가 있었으면 하는 바램입니다. 더 단점을 말한다면.. 가끔 영화 화질이 안 좋아집니다 이 부분도 유튜브처럼 화질을 수동으로 바꿀 수 있는 기능이 있으면 좋겠습니다! 말하다보니 단점만 말했네요.. 하지만 역시 넷플릭스는 최고입니다! 누워서 넷플릭스를 보면 더할 행복이 없죠! 너무 좋아요! +특히 오프라인 저장 기능 너무 좋아요! 저의 데이터를 아꺄줍니다! ㅎㅎ,5,2021-02-12 04:14:34
32,Google 사용자,"영상 화질, UI 편의성 다 좋은데 한 3,4분 자막이 나오다가 안 나옵니다 자막설정 건드려도 소용 없고 보던 영상을 끄고 나왔다가 다시 들어가야 다시 자막을 볼 수 있네요. 3,4분 후에 다시 안 나오고 계속 100% 반복입니다 앱 삭제 후 다시 설치해도 100% 똑같습니다 노트9 쓰고요, 한 시간짜리 영상 보려면 최소 20번은 들락날락 해야해서 감상이 아예 불가능하네요",1,2018-12-30 13:47:40
33,Google 사용자,정말 잘 보고 있습니다. 그런데 문제가 하나 있다면 제 기종이 노트8 인데 영상실행하고 나서 화면을 터치하면 상태창이 보였다 가렸다 할수있어야되는데 상태창을 가리는것이 안됩니다 그래서 화면 터치 조작 후 사라질때 까지 기다려야되는데 자막이 안보이거나 그런경우가 많아 불편합니다. 원인이 해결될수있으면 좋겠습니다. 지웠다 설치해도 문제 해결은 없었습니다.,4,2019-09-12 18:28:03
34,Google 사용자,"영화 한 편당 열 번은 튕겨 나와서 고객센터 문의했는데 답변 듣기는 어려울듯.. 그래도 꾹 참고 기기 문제가 있겠거니 하고 삭제 후 재설치하러 왔는데 설치 자체도 안 됩니다. 지금 다운로드 버튼 눌러도 화면 변화가 없고요. 이쯤 되니까 슬슬 화도 나고, 다른 평들 읽어보니 저만 이런 현상이 있는 게 아닌가 봅니다. 개선을 향한 시도가 시급한 듯 합니다. 넷플릭스 광고 홍보 엄청 하잖아요! 품질 개선 및 관리가 우선적인 넷플릭스 이길 바랍니다. 전... 어떻게 다운로드 받죠... ㅠㅜ",1,2019-04-29 00:22:23
35,하나린,"고민 중입니다. 계속 유지해야할지, 해약해야 할지요. 원하는 영화가 없고 빨리 올라오지도 않고 연간 결제도 원하는데 안되네요. 원하는 날짜로 결제일 변경도 하고 싶구요. 화면 전체 꽉 차게 나와 좋긴하지만 더 크게 확대가 안돼 아쉽습니다. 꼭 크게 봐야될 작은 글씨나 화면이 있거든요. 부족한 점을 조속히 다양한 시스템 채택하시면 합니다. 고객센터의 답변은 알겠다하지만 전혀 시정되지 않는 느낌입니다.",4,2020-12-26 15:06:08
36,ᄌᄌᄀ,"영화도 많고 다양하게 중국어,일본어,영어가 있어서 너무 좋아요! 나이제한도 가능하고,키즈용과 어른용이 있어서 편하게 사용하고 있어요. 근데 원래 있던 영화들이 사라지더라고요. 예를 들어 곤,이상한 나라의 엘리스 등등 그리고 번역이 좀 이상하게 되네요. 구글 번역기 보다도 기능이 나쁜것 같아요. 이 가지 점만 고쳐주심 좋을것 같아요",2,2020-10-07 22:41:04
37,-연어,"재밌어요! 화질도 좋고, 배속 기능도 있고, 한 계정으로 4명정도가 사용가능한 것도요!! 하지만 너무 볼게 없어요...또 애니메이션을 보면 1, 2기 다 있는데 영상이 13변부터 없다던가 영화 1, 2편은 있는데 3편이 없다던가.. 약속의 네버랜드를 보고 싶은데 그건 또 없더라구요...이런 다양한 애니메이션, 영화를 많이 추가해주세요ㅠㅠ",3,2021-01-10 18:47:58
38,Google 사용자,"컨텐츠랑은 다 좋은데ㅠㅠㅠ 밑에점들만 개선되면 넘 좋을거같아요... 1. 화면눌러도 재생버튼 안없어지는거 정말 너무너무 불편해요.. 제발 개선해주세요.. 2. 내가 좋아요 누른 컨텐츠 보관함 3. 찜한 목록 최신순으로 볼 수 있는 기능 +) 화질조절, 자막크기 조절 이런 기능 있으면 더 좋을거같아요 진짜.. 어플 깔끔해서 좋은데 정말 필수적인 기능이 없어서 넘 답답해요..ㅜ",3,2020-04-22 02:34:16
39,sy choi,물론 넷플렉스로 삶의 질이 많이 올랐습니다 그런데 -1023 오류가 너무 자주 있습니다... 자주가아니라 계속이라는 표현이맞을것같아요 갤럭시s10 5g쓰고있는데요 실행시도를 할때마다 계속 실행오류래요 전에는 이런 현상이나오면 실행중인 모든 어플을 종료하고 실행하면 됐는데요 소프트웨어업데이트를 한 후에는 이 방법을 써도 실행이 전혀 되질않아요.. 계속 넷플을 보려면 노트북을쓰거나 하고있는데요;; 언제까지 이렇게 불편하게 봐야되는건지 모르겠어요...제 핸드폰이 이상한건지ㅠㅠ,3,2021-02-21 22:07:09
40,Google 사용자,"G7사용자입니다. 다른 사람들 리뷰보니까 갤럭시9에서 화면깨지고 오작동이 많이 일어나는 것 같은데, G7에서도 화면 그래픽이 다 깨져서 도저히 볼 수 없는 상태이고 그래픽이 순간 깨지는게 아니라 1분이 지나도 안 돌아와요. 처음 시작할때만 그런거면 몰라도 중간 중간 스킵할려고 해도 다 깨지고....이 현상이 꽤 오래되고 있습니다. 이번 달은 이 현상때문에 거의 넷플 보지도 못했습니다. 유료 상품인데 해결하실 생각이 전혀 없는것같네요. 이번 달만 채우고 다른 플렛폼으로 갈아탑니다. 여러분도 고생하지말고 타 플렛폼으로 가세요. 내가 즐겁고 편하게 볼려고 내 돈주고 내 시간내서 보는건데, 이런 문제때문에 굳이 스트레스 받으실 필요없다고 봅니다. 넷플릭스 정말 잘 사용했는데 아쉽긴하지만 그래픽 오류가 고쳐지지 전까지는 다시 사용하긴 힘들겠네요.",1,2019-09-14 01:27:29
41,Google 사용자,"일부 작품을 볼 때 화면이 노랗게 변합니다. 영상에 노란 필터가 있는게 아니라 화면 전체가 오줌액정처럼 노랗게 됩니다. 상단바 재생 멈춤 버튼 전부 노래집니다. 기기는 v30이고요 산타클라라타다이어트, 데드투미 등등의 작품에서 이런 현상이 발생합니다. 너무 거슬려서 못보겠어요. 해결해주세요.",3,2019-09-21 15:08:33
42,Google 사용자,"다 좋은데 아쉬운 점 두가지가 있습니다 미드로 영어공부하기를 유로로 다운받아서 하다가 넷플릭스로 넘어왔습니다. 하지만 공부용으로 하기엔 불편한 점이 있습니다. 첫째, 한영 동시자막이 안된다는 점 둘째, 반복구간 설정 혹은 되돌리기 시점 정하기(2~5초)가 안된다는 점 이 두가지를 개선해주십사 하고 의견 올립니다.",3,2019-07-31 11:46:29
43,Google 사용자,"불만사항이 두 가지 있습니다. 첫째, 홈 화면에서만 화면이 엄청 어두워집니다. 화면 밝기 조절하려고 스크롤바 내려서 보면 화면 밝기 조절할 수 없게 고정이 돼있습니다 왜 그런 거죠? 두 번째, 영상 틀면 오프닝 영상이 나오지 않습니까? 언제부턴가 오프닝 영상 넘김(?)을 아무리 눌러도 넘어가지 않더니 이제는 그게 사라졌습니다. 갑자기 사라져서 너무 당황스럽습니다. 하루빨리 개선해주시면 감사하겠습니다.",2,2019-12-07 10:55:09
44,김태윤,"영상보다가 멈추거나 앱 작동이 중지되는 렉이 거의 매번 일어나고 있습니다. 다른 앱 쓰다가 폰이 멈춘적이 없는데 유난히 넷플릭스 앱을 쓰면서 과부화가 많이 걸리고 화면 멈춤, 앱 작동중지 등의 현상이 최근들어 매우 자주 나타나고 있습니다. 가장 중요한 영상시청과 기본적인 앱 조작에 문제가 발견된 것은 앱 이용시에 매우 중대한 문제가 아닐수 없습니다. 이게 뭔지는 모르겠지만 빠른시일내에 해결하셔야 회사에 이로울것이라고 생각합니다.",1,2021-08-01 04:03:25
45,Google 사용자,모던패밀리 자막을 한글에서 영어로 바꾸면서 공부하고있는데요 시청중에 자막을바꾸고나서 정지버튼을 눌렀다가 다시 재생버튼을 누르려고하면 인식이 안되네요 10초 돌아기기와 넘어바기버튼은 잘 인식됩니다. 그리고 이상태에서 자막 설정화면을 다시켰다가 확인버튼을 누르면 이런 현상이 없어지긴 하네요 ; 그런데 이런 오류 없애려고 매번 자막설정면을 다시 키는것도 힘들어요 ㅠㅠ 빠른처리 부탁드립니다 휴대폰기종은 노트 8+입니다,3,2020-01-25 00:28:18
46,Google 사용자,그동안 보고 싶었던 넷플릭스 작품들 보는 건 너무 좋은데. 화면 버퍼링 심하고 무엇보다 재생하면 초록색 네모들만 잔뜩 뜨네요. 앱 종료하고 다시 실행하고 또 종료하고 다시 실행해도 한번 뜨면 계속 지지직거리면서 회색 녹색의 픽셀들만 뜹니다. 돈 내고 이용하는 서비스인데 영상을 못 보고 있네요. 음성만 겨우 듣고 있습니다. 영상 로딩이나 화질문제 좀 개선해주세요.,3,2019-01-31 04:36:32
47,Google 사용자,"다 좋은데 티빙이나 웨이브같은 다른 미디어앱과 다르게 듀얼스크린사용이 안되네요 일반적으로 다른것들은 영상 재생시켜놓고 웹서핑이나 쇼핑, 게임 같은거 할수있는데 넷플릭스는 다른앱을 터치하면 바로 자동으로 재생중지되어서 멀티태스킹이 불가합니다. 가능하도록 수정해주시면 감사하겠습니다ㅠ 넘 불편해요",4,2020-02-18 19:46:03
48,Google 사용자,다 좋은데 왜 자꾸 영상 볼때 맘대로 일시정지가 돼는지 모르겠네요. 시도때도 없이 그러니까 영상시청이 불가능할정도입니다. 영상 보다가 갑자기 화면이 멈추길래 보니까 일시정지 되더라구요. 그래서 수동으로 일시정지 해제시켜주고 보다보면 또 갑자기 일시정지됩니다. 이걸 영상시청내내 반복되는데 미쳐버리겠네요. 재설치해도 큰변화는 없네요. 하루빨리 오류조사해서 수정 부탁드립니다.,4,2020-01-12 18:20:25
49,Jace Nam,"넥플릭스야 좋은거 다 알지만 아쉬운점이 많습니다. 1. 최근부터 PIP 모드 재생이 되다 안되다 함 2. 다른 앱을 쓰고 최근앱 리스트에서 돌아온다던가 하면 재생위치를 기억못할때가 있음 3. 한 회를 다보지 않았는데 후반을 보다가 나중에 재생하면 다본걸로 간주하는 문제 4. 시청완료 목록이 없다는점. 5. 방영중인 드라마를 재생가능한 마지막회까지 다 보면 재생목록에서 사라지는 점 6. 싫어요와 리뷰적기가 없는 점 7. 스토어에 업데이트 내용이 없다는 점. 8. 알림창을 내리면 멈추는 점. 적어도 옵션처리 필요 9. 십초감기 외에는 이동이 불편한점, 다중자막, 배속재생이 없는 등 유틸리티 기능 부족",4,2020-08-11 00:29:35
